127.0.0.1 - - [13/Mar/2020:21:54:35 -0500] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:54:35 -0500] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:54:37 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:54:37 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:56:12 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:56:12 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:56:18 -0500] "GET /web-customer-tracker/customer/customer/showUpdateForm?customerId=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:58:13 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:58:14 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:59:27 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Mar/2020:21:59:27 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:04:35 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:04:35 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:05:40 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:05:40 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:06:31 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:06:31 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:08:14 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:08:14 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:09:23 -0500] "GET /web-customer-tracker/customer/customer/showUpdateForm?customerId=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:09:28 -0500] "GET /web-customer-tracker/customer/customer/showUpdateForm?customerId=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:09:32 -0500] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [13/Mar/2020:22:09:32 -0500] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
